start_date,end_date,pollster,sample_size,dem,rep,ind,methodology,pollster_rating_id,numeric_grade
2024-08-12,2024-08-14,Emerson,1000.0,47.5,45.5,,IVR/Online Panel/Text-to-Web,88,2.9
2024-08-11,2024-08-13,YouGov,1407.0,45.0,44.0,,Online Panel,391,2.9
2024-08-08,2024-08-12,Monmouth,801.0,48.0,46.0,,Live Phone/Text-to-Web,215,2.9
2024-08-06,2024-08-08,Cygnal,1500.0,46.4,47.1,,,67,2.1
2024-08-04,2024-08-06,YouGov,1413.0,45.0,44.0,,Online Panel,391,2.9
2024-08-01,2024-08-04,Marist,1513.0,47.0,45.0,,Live Phone/Online Panel/Text-to-Web,183,2.9
2024-07-31,2024-08-04,Hart/POS,1001.0,44.0,47.0,,Live Phone,221,2.6
2024-07-24,2024-08-01,Marquette Law School,879.0,52.0,48.0,,Probability Panel,195,3.0
2024-07-24,2024-08-01,Marquette Law School,683.0,52.0,48.0,,Probability Panel,195,3.0
2024-07-29,2024-07-31,RMG Research,3000.0,47.0,47.0,,,555,2.3
2024-07-27,2024-07-30,YouGov,1434.0,46.0,44.0,,Online Panel,391,2.9
2024-07-26,2024-07-29,American Pulse,1035.0,46.6,45.2,,IVR/Live Phone/Online Panel/Text-to-Web,836,
2024-07-23,2024-07-29,McLaughlin,1000.0,44.0,46.0,,Online Panel,203,0.5
2024-07-26,2024-07-28,HarrisX/Harris Poll,1066.0,45.0,42.0,,Online Panel,133,1.6
2024-07-26,2024-07-28,HarrisX/Harris Poll,1130.0,48.0,52.0,,Online Panel,133,1.6
2024-07-26,2024-07-28,Big Data Poll,3097.0,42.7,42.4,,Live Phone/Online Panel/Text-to-Web,251,
2024-07-26,2024-07-28,Big Data Poll,2919.0,43.7,43.7,,Live Phone/Online Panel/Text-to-Web,251,
2024-07-26,2024-07-27,Florida Atlantic University/Mainstreet Research,997.0,46.0,42.0,,IVR/Online Panel,770,
2024-07-26,2024-07-27,Florida Atlantic University/Mainstreet Research,952.0,47.0,42.0,,IVR/Online Panel,770,
2024-07-22,2024-07-26,Clarity,995.0,44.0,42.0,,Online Panel,52,1.6
2024-07-23,2024-07-25,Fabrizio/GBAO,1000.0,46.0,48.0,,,796,
2024-07-22,2024-07-25,HarrisX,3013.0,41.0,41.0,,Online Panel,133,1.6
2024-07-22,2024-07-25,HarrisX,2472.0,44.0,45.0,,Online Panel,133,1.6
2024-07-22,2024-07-24,OnMessage Inc.,800.0,44.0,49.0,,Online Panel,239,1.1
2024-07-22,2024-07-23,YouGov,1155.0,44.0,44.0,,Online Panel,391,2.9
2024-07-21,2024-07-23,YouGov,1435.0,46.0,44.0,,Online Panel,391,2.9
2024-07-19,2024-07-22,YouGov,1178.0,45.0,42.0,,Online Panel,391,2.9
2024-07-19,2024-07-21,Echelon Insights,982.0,48.0,47.0,,Online Panel,407,2.7
2024-07-19,2024-07-21,HarrisX,2753.0,39.0,44.0,,Online Panel,133,1.6
2024-07-19,2024-07-21,HarrisX,2169.0,41.0,49.0,,Online Panel,133,1.6
2024-07-19,2024-07-21,Florida Atlantic University/Mainstreet Research,780.0,43.5,43.0,,IVR/Online Panel,770,
2024-07-19,2024-07-21,Florida Atlantic University/Mainstreet Research,711.0,44.5,45.1,,IVR/Online Panel,770,
2024-07-17,2024-07-19,OnMessage Inc.,800.0,43.0,46.0,,Online Panel,239,1.1
2024-07-15,2024-07-16,Emerson,2000.0,43.7,43.7,,IVR/Online Panel/Text-to-Web,88,2.9
2024-07-13,2024-07-16,YouGov,1404.0,45.0,44.0,,Online Panel,391,2.9
2024-07-13,2024-07-15,HarrisX,1918.0,41.0,42.0,,Online Panel,133,1.6
2024-07-08,2024-07-11,Noble Predictive Insights,2295.0,43.0,44.0,,Online Panel/Text-to-Web,235,2.4
2024-07-08,2024-07-11,Noble Predictive Insights,2535.0,42.0,43.0,,Online Panel/Text-to-Web,235,2.4
2024-07-09,2024-07-10,Marist,1174.0,46.0,44.0,,Live Phone/Online Panel,183,2.9
2024-07-07,2024-07-09,YouGov,1443.0,46.0,44.0,,Online Panel,391,2.9
2024-07-07,2024-07-09,Hart/POS,800.0,47.0,46.0,,Live Phone,221,2.6
2024-07-07,2024-07-08,Emerson,1370.0,44.4,43.1,,IVR/Online Panel/Text-to-Web,88,2.9
2024-07-01,2024-07-03,Split Ticket/Data for Progress,2067.0,48.0,45.0,,Online Panel,853,
2024-07-01,2024-07-02,Cygnal,1500.0,43.3,47.1,,,67,2.1
2024-06-30,2024-07-02,YouGov,1392.0,44.0,44.0,,Online Panel,391,2.9
2024-06-29,2024-07-02,Fabrizio/GBAO,1500.0,43.0,46.0,,Live Phone/Text-to-Web,796,
2024-06-30,2024-07-01,NewsNation/Decision Desk HQ,1000.0,43.63,43.98,,Online Panel,696,1.6
2024-06-29,2024-07-01,OnMessage Inc.,800.0,44.0,45.0,,Online Panel,239,1.1
2024-06-29,2024-06-30,Florida Atlantic University/Mainstreet Research,961.0,45.0,43.0,,IVR/Online Panel,770,
2024-06-29,2024-06-30,Florida Atlantic University/Mainstreet Research,869.0,47.0,44.0,,IVR/Online Panel,770,
2024-06-28,2024-06-30,Suffolk,1000.0,44.6,47.3,,Live Phone,323,2.9
2024-06-28,2024-06-30,CNN/SSRS,1274.0,45.0,47.0,,Probability Panel,844,
2024-06-23,2024-06-25,YouGov,1406.0,44.0,43.0,,Online Panel,391,2.9
2024-06-20,2024-06-24,McLaughlin,2000.0,42.9,45.1,,Online Panel,203,0.5
2024-06-20,2024-06-24,McLaughlin,1744.0,43.7,47.5,,Online Panel,203,0.5
2024-06-18,2024-06-24,McLaughlin,1000.0,43.0,46.0,,,203,0.5
2024-06-11,2024-06-24,YouGov,2750.0,46.6,41.9,,Online Panel,391,2.9
2024-06-13,2024-06-20,Clarity,1002.0,44.0,43.0,,Online Panel,52,1.6
2024-06-16,2024-06-18,YouGov,1396.0,45.0,44.0,,Online Panel,391,2.9
2024-06-14,2024-06-18,YouGov Blue,2015.0,49.0,47.0,,Online Panel,391,2.9
2024-06-11,2024-06-13,OnMessage Inc.,800.0,42.0,48.0,,Online Panel,239,1.1
2024-06-10,2024-06-12,Echelon Insights,1013.0,48.0,47.0,,Online Panel,407,2.7
2024-06-09,2024-06-11,YouGov,1399.0,44.0,44.0,,Online Panel,391,2.9
2024-06-06,2024-06-10,Monmouth,1034.0,45.0,48.0,,Live Phone,215,2.9
2024-06-07,2024-06-09,Big Village,2026.0,39.9,38.1,,Online Panel,37,1.6
2024-06-07,2024-06-09,Big Village,1625.0,43.7,43.0,,Online Panel,37,1.6
2024-06-07,2024-06-09,Big Village,1423.0,46.8,45.3,,Online Panel,37,1.6
2024-06-04,2024-06-06,Cygnal,1500.0,45.2,45.3,,,67,2.1
2024-06-03,2024-06-06,YouGov,1243.0,45.0,43.0,,Online Panel,391,2.9
2024-06-04,2024-06-05,Emerson,1000.0,42.9,45.3,,IVR/Online Panel,88,2.9
2024-06-02,2024-06-04,YouGov,1566.0,45.0,44.0,,Online Panel,391,2.9
2024-05-23,2024-06-03,Navigator,812.0,50.0,43.0,,Online Panel,413,1.3
2024-05-28,2024-05-30,OnMessage Inc.,800.0,41.0,46.0,,Online Panel,239,1.1
2024-05-28,2024-05-29,NewsNation/Decision Desk HQ,1000.0,43.46,45.08,,Online Panel,696,1.6
2024-05-25,2024-05-28,YouGov,1547.0,44.0,42.0,,Online Panel,391,2.9
2024-05-21,2024-05-23,Emerson,1100.0,43.9,44.8,,IVR/Online Panel/Text-to-Web,88,2.9
2024-05-21,2024-05-23,McLaughlin,1000.0,44.0,48.0,,Online Panel,203,0.5
2024-05-21,2024-05-23,Marist,1122.0,45.0,45.0,,Live Phone/Online Panel/Text-to-Web,183,2.9
2024-05-19,2024-05-21,YouGov,1560.0,46.0,42.0,,Online Panel,391,2.9
2024-05-16,2024-05-21,Bullfinch,1200.0,41.0,42.0,,Online Panel,692,
2024-05-16,2024-05-21,Bullfinch,1000.0,43.0,43.0,,Online Panel,692,
2024-05-14,2024-05-16,OnMessage Inc.,800.0,41.0,48.0,,Online Panel,239,1.1
2024-05-14,2024-05-16,Cygnal,1500.0,44.2,46.1,,,67,2.1
2024-05-13,2024-05-16,Echelon Insights,1023.0,45.0,49.0,,Online Panel,407,2.7
2024-05-09,2024-05-15,McLaughlin,1000.0,44.0,46.0,,Online Panel,203,0.5
2024-05-06,2024-05-15,Marquette Law School,902.0,50.0,50.0,,Probability Panel,195,3.0
2024-05-06,2024-05-15,Marquette Law School,684.0,50.0,50.0,,Probability Panel,195,3.0
2024-05-12,2024-05-14,YouGov,1586.0,45.0,42.0,,Online Panel,391,2.9
2024-05-10,2024-05-14,McLaughlin,2000.0,42.7,45.1,,Online Panel,203,0.5
2024-05-10,2024-05-14,McLaughlin,1721.0,44.6,47.5,,Online Panel,203,0.5
2024-05-10,2024-05-13,YouGov,1203.0,45.0,41.0,,Online Panel,391,2.9
2024-05-06,2024-05-09,RMG Research,2000.0,48.0,47.0,,,555,2.3
2024-04-29,2024-05-08,Clarity,1076.0,42.0,41.0,,Online Panel,52,1.6
2024-05-05,2024-05-07,YouGov,1598.0,44.0,42.0,,Online Panel,391,2.9
2024-04-19,2024-05-04,Data for Progress,4923.0,45.0,45.0,,Online Panel,522,2.7
2024-04-28,2024-04-30,YouGov,1479.0,44.0,41.0,,Online Panel,391,2.9
2024-04-27,2024-04-29,Winston,1000.0,45.0,46.0,,Online Panel,385,2.5
2024-04-26,2024-04-28,Florida Atlantic University/Mainstreet Research,1046.0,42.7,40.1,,IVR/Text-to-Web,770,
2024-04-26,2024-04-28,Florida Atlantic University/Mainstreet Research,851.0,43.5,40.1,,IVR/Text-to-Web,770,
2024-04-21,2024-04-23,YouGov,1470.0,44.0,42.0,,Online Panel,391,2.9
2024-04-16,2024-04-17,Emerson,1308.0,44.6,44.8,,IVR/Online Panel,88,2.9
2024-04-16,2024-04-17,NewsNation/Decision Desk HQ,1000.0,41.58,43.77,,Online Panel,696,1.6
2024-04-14,2024-04-16,YouGov,1358.0,43.0,43.0,,Online Panel,391,2.9
2024-04-12,2024-04-16,Hart/POS,1000.0,46.0,47.0,,Live Phone,221,2.6
2024-04-10,2024-04-16,McLaughlin,1000.0,43.0,47.0,,,203,0.5
2024-04-11,2024-04-15,YouGov,1170.0,45.0,42.0,,Online Panel,391,2.9
2024-04-12,2024-04-14,Echelon Insights,1020.0,49.0,46.0,,Online Panel,407,2.7
2024-04-11,2024-04-13,OnMessage Inc.,800.0,44.0,46.0,,Online Panel,239,1.1
2024-04-08,2024-04-11,Public Opinion Strategies,1000.0,42.0,42.0,,Live Phone,260,1.7
2024-04-09,2024-04-10,Cygnal,1500.0,45.4,46.6,,Online Panel,67,2.1
2024-04-06,2024-04-09,YouGov,1583.0,43.0,43.0,,Online Panel,391,2.9
2024-04-02,2024-04-03,Emerson,1438.0,45.6,45.0,,IVR/Online Panel/Email,88,2.9
2024-03-30,2024-04-02,YouGov,1604.0,44.0,41.0,,Online Panel,391,2.9
2024-03-27,2024-03-29,Data for Progress,1200.0,46.0,44.0,,Online Panel,522,2.7
2024-03-25,2024-03-28,UpOne Insights/BSG,1000.0,44.0,45.0,,Online Panel,843,
2024-03-25,2024-03-28,Split Ticket,821.0,44.0,42.0,,Online Panel,845,
2024-03-18,2024-03-28,Marquette Law School,868.0,48.0,52.0,,Probability Panel,195,3.0
2024-03-18,2024-03-28,Marquette Law School,674.0,49.0,51.0,,Probability Panel,195,3.0
2024-03-23,2024-03-27,Clarity,1080.0,43.0,41.0,,Online Panel,52,1.6
2024-03-24,2024-03-26,YouGov,1415.0,44.0,42.0,,Online Panel,391,2.9
2024-03-23,2024-03-26,McLaughlin,2000.0,42.8,46.6,,Online Panel,203,0.5
2024-03-23,2024-03-26,McLaughlin,1799.0,43.2,49.2,,Online Panel,203,0.5
2024-03-18,2024-03-21,Echelon Insights,1006.0,49.0,46.0,,Online Panel,407,2.7
2024-03-16,2024-03-19,YouGov,1510.0,44.0,43.0,,Online Panel,391,2.9
2024-03-15,2024-03-17,Florida Atlantic University/Mainstreet Research,1053.0,43.3,43.6,,IVR/Text-to-Web,770,
2024-03-15,2024-03-17,Florida Atlantic University/Mainstreet Research,941.0,45.5,44.1,,IVR/Text-to-Web,770,
2024-03-11,2024-03-15,Noble Predictive Insights,2510.0,41.0,42.0,,Online Panel/Text-to-Web,235,2.4
2024-03-11,2024-03-15,Noble Predictive Insights,2145.0,43.0,45.0,,Online Panel/Text-to-Web,235,2.4
2024-03-09,2024-03-14,McLaughlin,1000.0,43.0,48.0,,Online Panel,203,0.5
2024-03-12,2024-03-13,PPP,837.0,45.0,46.0,,IVR/Text,263,1.4
2024-03-10,2024-03-12,YouGov,1367.0,43.0,42.0,,Online Panel,391,2.9
2024-03-08,2024-03-11,YouGov,994.0,45.0,43.0,,Online Panel,391,2.9
2024-03-05,2024-03-07,OnMessage Inc.,800.0,43.0,46.0,,Online Panel,239,1.1
2024-03-05,2024-03-06,Emerson,1350.0,44.7,43.4,,IVR/Online Panel/Email,88,2.9
2024-03-03,2024-03-05,YouGov,1450.0,41.0,43.0,,Online Panel,391,2.9
2024-02-27,2024-03-01,GS Strategy Group,2000.0,45.0,41.0,,,478,1.5
2024-02-21,2024-02-28,Fabrizio/GBAO,1745.0,42.0,46.0,,Live Phone/Text-to-Web,796,
2024-02-26,2024-02-27,RMG Research,1000.0,47.0,49.0,,,555,2.3
2024-02-25,2024-02-27,YouGov,1498.0,44.0,43.0,,Online Panel,391,2.9
2024-02-22,2024-02-27,Clarity,1026.0,44.0,40.0,,Online Panel,52,1.6
2024-02-24,2024-02-25,Winston,1000.0,44.0,47.0,,Online Panel,385,2.5
2024-02-21,2024-02-22,OnMessage Inc.,800.0,43.0,46.0,,Online Panel,239,1.1
2024-02-19,2024-02-22,McLaughlin,2000.0,43.0,45.3,,Online Panel,203,0.5
2024-02-19,2024-02-22,McLaughlin,1724.0,44.3,47.9,,Online Panel,203,0.5
2024-02-18,2024-02-20,YouGov,1360.0,43.0,41.0,,Online Panel,391,2.9
2024-02-13,2024-02-14,Emerson,1225.0,42.3,43.9,,IVR/Online Panel/Email,88,2.9
2024-02-12,2024-02-14,Echelon Insights,1015.0,46.0,48.0,,Online Panel,407,2.7
2024-02-12,2024-02-14,Big Data Poll,3005.0,39.8,42.9,,Online Panel/Text-to-Web/Text,251,
2024-02-12,2024-02-14,Big Data Poll,2795.0,40.6,44.2,,Online Panel/Text-to-Web/Text,251,
2024-02-11,2024-02-13,YouGov,1470.0,44.0,42.0,,Online Panel,391,2.9
2024-02-06,2024-02-08,Cygnal,1501.0,45.1,46.9,,,67,2.1
2024-02-04,2024-02-06,YouGov,1399.0,45.0,42.0,,Online Panel,391,2.9
2024-02-02,2024-02-03,Florida Atlantic University/Mainstreet Research,1180.0,38.9,36.3,,Online Panel/Text,770,
2024-02-02,2024-02-03,Florida Atlantic University/Mainstreet Research,917.0,41.4,42.0,,Online Panel/Text,770,
2024-01-30,2024-02-02,OnMessage Inc.,800.0,42.0,46.0,,Online Panel,239,1.1
2024-01-25,2024-01-31,McLaughlin,1000.0,42.0,46.0,,Online Panel,203,0.5
2024-01-28,2024-01-30,YouGov,1486.0,42.0,42.0,,Online Panel,391,2.9
2024-01-26,2024-01-30,Hart/POS,1000.0,45.0,49.0,,Live Phone,221,2.6
2024-01-25,2024-01-30,UMass Amherst/YouGov,1064.0,43.0,42.0,,Online Panel,861,
2024-01-26,2024-01-29,Emerson,1260.0,41.8,43.1,,IVR/Online Panel/Email,88,2.9
2024-01-25,2024-01-29,YouGov,1069.0,44.0,43.0,,Online Panel,391,2.9
2024-01-21,2024-01-23,YouGov,1497.0,43.0,42.0,,Online Panel,391,2.9
2024-01-19,2024-01-23,Clarity,1092.0,45.0,44.0,,Online Panel,52,1.6
2024-01-19,2024-01-22,Bullfinch,1002.0,36.0,39.0,,Online Panel,692,
2024-01-17,2024-01-19,OnMessage Inc.,800.0,41.0,47.0,,Online Panel,239,1.1
2024-01-16,2024-01-18,Echelon Insights,1029.0,45.0,50.0,,Online Panel,407,2.7
2024-01-16,2024-01-18,NewsNation/Decision Desk HQ,1000.0,42.75,44.01,,Online Panel,696,1.6
2024-01-14,2024-01-16,YouGov,1472.0,42.0,42.0,,Online Panel,391,2.9
2024-01-11,2024-01-14,McLaughlin,2000.0,41.9,44.8,,Online Panel,203,0.5
2024-01-11,2024-01-14,McLaughlin,1719.0,43.2,47.6,,Online Panel,203,0.5
2024-01-11,2024-01-12,Cygnal,2000.0,44.5,46.8,,,67,2.1
2024-01-07,2024-01-09,YouGov,1417.0,44.0,43.0,,Online Panel,391,2.9
2024-01-03,2024-01-05,OnMessage Inc.,800.0,40.0,47.0,,Online Panel,239,1.1
2024-01-02,2024-01-04,Rasmussen,1044.0,40.0,49.0,,IVR/Online Panel,277,2.1
2024-01-02,2024-01-04,Noble Predictive Insights,2364.0,41.0,44.0,,Online Panel/Text-to-Web,235,2.4
2024-01-02,2024-01-04,Noble Predictive Insights,2573.0,40.0,42.0,,Online Panel/Text-to-Web,235,2.4
2023-12-31,2024-01-02,YouGov,1343.0,42.0,44.0,,Online Panel,391,2.9
2023-12-13,2023-12-19,McLaughlin,1000.0,43.0,47.0,,Online Panel,203,0.5
2023-12-16,2023-12-18,YouGov,1336.0,43.0,42.0,,Online Panel,391,2.9
2023-12-16,2023-12-18,Big Data Poll,3011.0,41.2,41.4,,Online Panel/Text-to-Web/Text,251,
2023-12-16,2023-12-18,Big Data Poll,2772.0,42.8,42.8,,Online Panel/Text-to-Web/Text,251,
2023-12-14,2023-12-18,YouGov,1026.0,43.0,42.0,,Online Panel,391,2.9
2023-12-15,2023-12-17,WPAi,1000.0,43.0,44.0,,Online Panel,383,1.7
2023-12-14,2023-12-17,McLaughlin,2000.0,42.3,44.5,,Online Panel,203,0.5
2023-12-14,2023-12-17,McLaughlin,1722.0,44.0,46.7,,Online Panel,203,0.5
2023-12-12,2023-12-16,Echelon Insights,1012.0,47.0,47.0,,Online Panel,407,2.7
2023-12-09,2023-12-12,YouGov,1332.0,44.0,41.0,,Online Panel,391,2.9
2023-12-07,2023-12-10,Clarity,1052.0,45.0,43.0,,Online Panel,52,1.6
2023-12-07,2023-12-09,Winston,1000.0,46.0,44.0,,Online Panel,385,2.5
2023-12-05,2023-12-07,Cygnal,2000.0,46.0,46.3,,,67,2.1
2023-12-04,2023-12-06,Emerson,1000.0,43.5,43.0,,IVR/Online Panel/Email,88,2.9
2023-12-02,2023-12-05,YouGov,1291.0,42.0,41.0,,Online Panel,391,2.9
2023-11-29,2023-12-04,Fabrizio/GBAO,1500.0,41.0,46.0,,Live Phone/Text-to-Web,796,
2023-11-27,2023-11-30,McLaughlin,2000.0,41.1,45.0,,Online Panel,203,0.5
2023-11-27,2023-11-30,McLaughlin,1724.0,43.3,47.9,,Online Panel,203,0.5
2023-11-26,2023-11-27,NewsNation/Decision Desk HQ,3200.0,42.87,45.06,,Online Panel,696,1.6
2023-11-25,2023-11-27,YouGov,1323.0,44.0,42.0,,Online Panel,391,2.9
2023-11-21,2023-11-22,OnMessage Inc.,800.0,41.0,47.0,,Online Panel,239,1.1
2023-11-18,2023-11-20,YouGov,1323.0,43.0,42.0,,Online Panel,391,2.9
2023-11-17,2023-11-20,Emerson,1475.0,42.6,44.2,,IVR/Online Panel,88,2.9
2023-11-16,2023-11-20,McLaughlin,1000.0,43.0,47.0,,Online Panel,203,0.5
